speaker	vowel/frame	context	F1	F2	F3	gl F1	gl F2	gl F3
0uCmryz	ˈə	""	699.2	1584.2	3281.2	""	""	""
1000	ˈə	""	521.9	1452.075	2604.7	""	""	""
1004	ˈə	""	492.257142857143	1736.42857142857	2676.65714285714	""	""	""
1005	ˈə	""	904.44	1844.08	2946.2	""	""	""
1006	ˈə	""	536.9	1322.8	3376.9	""	""	""
1008	ˈə	""	524.566666666667	1467.13333333333	2438.26666666667	""	""	""
1009	ˈə	""	495.775	1530.4	2692.25	""	""	""
1010	ˈə	""	540.4	1388.57777777778	2480.95555555556	""	""	""
1013	ˈə	""	584	1546.4	2708.5	""	""	""
1016	ˈə	""	440.085714285714	1480.88571428571	2752.57142857143	""	""	""
1017	ˈə	""	497.1	1591.33333333333	2371.63333333333	""	""	""
1018	ˈə	""	456.8	1466.45	2662.6	""	""	""
1020	ˈə	""	406.3	1568	2283.5	""	""	""
1021	ˈə	""	541.35	1724.925	2969.9	""	""	""
1022	ˈə	""	468.833333333333	1642.93333333333	2634.23333333333	""	""	""
1023	ˈə	""	431.828571428571	1450.94285714286	2771.31428571429	""	""	""
1025	ˈə	""	452.822222222222	1665.04444444444	2695.11111111111	""	""	""
1026	ˈə	""	612.575	1462.675	2491.25	""	""	""
1029	ˈə	""	454.8	1457.2	2588.66666666667	""	""	""
1031	ˈə	""	495.133333333333	1507.26666666667	2760.13333333333	""	""	""
1032	ˈə	""	491.3	1402.63333333333	2654.76666666667	""	""	""
1033	ˈə	""	529.65	1543.15	2499.95	""	""	""
1034	ˈə	""	563.05	1602.1	3120.6	""	""	""
1035	ˈə	""	555.76	1487.04	2679.84	""	""	""
1036	ˈə	""	410	1518	2340.6	""	""	""
1039	ˈə	""	390.8	1901.4	3109	""	""	""
1041	ˈə	""	455.057142857143	1495.6	2599.82857142857	""	""	""
1042	ˈə	""	645.25	1876.325	2644.675	""	""	""
1043	ˈə	""	573.525	1768.7	2811.575	""	""	""
1045	ˈə	""	483.857142857143	1677.94285714286	2759.45714285714	""	""	""
1046	ˈə	""	563.88	1717.32	2512.28	""	""	""
1048	ˈə	""	486.5	1479.26666666667	2762.26666666667	""	""	""
1052	ˈə	""	489.466666666667	1555.13333333333	2413.13333333333	""	""	""
1053	ˈə	""	531.1	1538.55	2711.75	""	""	""
1054	ˈə	""	518.8	1722.8	3027.3	""	""	""
1057	ˈə	""	535.488888888889	1426.22222222222	2738.93333333333	""	""	""
1058	ˈə	""	432.1	1663.5	2722.05	""	""	""
1060	ˈə	""	434.571428571429	1401.65714285714	2451.71428571429	""	""	""
1061	ˈə	""	563.942857142857	1598.65714285714	2788.94285714286	""	""	""
1063	ˈə	""	527.733333333333	1525.73333333333	2523.66666666667	""	""	""
1064	ˈə	""	503.36	1456.76	2472.92	""	""	""
1066	ˈə	""	612.8	1823.33333333333	2346.93333333333	""	""	""
1067	ˈə	""	508.085714285714	1628.91428571429	2737.25714285714	""	""	""
1068	ˈə	""	599.133333333333	1434.23333333333	2476.3	""	""	""
1069	ˈə	""	563.08	1766.16	2896.56	""	""	""
1072	ˈə	""	446.7	1304.55	2394	""	""	""
1073	ˈə	""	483.5	1695.26666666667	2866.73333333333	""	""	""
1074	ˈə	""	583.05	1600.9	2625.7	""	""	""
1075	ˈə	""	734.4	1802.03333333333	2697.9	""	""	""
1076	ˈə	""	500.622222222222	1799.04444444444	2828.13333333333	""	""	""
1077	ˈə	""	588.433333333333	1665.83333333333	2653.16666666667	""	""	""
1078	ˈə	""	536.85	1352.375	2196.125	""	""	""
1079	ˈə	""	455	1094.2	2163.6	""	""	""
